station,station_label,phase_key,phase_label,t_lo_min,t_hi_min,reservoir,process,column_net_g_m2,table_id,selection_rule,source_csvs
S1,S1 — Seeding,seeding,Early ice,2.0,12.0,liquid,CONDENSATION,52.46382444132944,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S1,S1 — Seeding,seeding,Early ice,2.0,12.0,liquid,BREAKUP,0.0,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S1,S1 — Seeding,seeding,Early ice,2.0,12.0,liquid,DROP_COLLISION,3.463566437107514e-08,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S1,S1 — Seeding,seeding,Early ice,2.0,12.0,liquid,DROP_INS_COLLISION,0.0,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S1,S1 — Seeding,seeding,Early ice,2.0,12.0,liquid,HOMOGENEOUS_FREEZING,0.0,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S1,S1 — Seeding,seeding,Early ice,2.0,12.0,liquid,RIMING,0.2452980296500692,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S1,S1 — Seeding,seeding,Early ice,2.0,12.0,liquid,MELTING,0.0,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S1,S1 — Seeding,seeding,Early ice,2.0,12.0,ice,IMMERSION_FREEZING,-0.691938280015399,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S1,S1 — Seeding,seeding,Early ice,2.0,12.0,ice,CONTACT_FREEZING,0.0,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S1,S1 — Seeding,seeding,Early ice,2.0,12.0,ice,RIMING,-0.2452980293997274,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
