variant,basis,run_id,run_label,time_frame_min,t_lo_min,t_hi_min,t_mid_min,liq_mean_diam_um,liq_std_diam_um,liq_net_tendency_per_min,ice_mean_diam_um,ice_std_diam_um,ice_net_tendency_per_min,obs_match_ids,obs_ice_mean_diam_um,obs_ice_std_diam_um,alpha_ice_mean_diam,source_stats_csv,cs_run,exp_id,expname
mass,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",0.00-5.00,0.0,5.0,2.5,12.2,5.3,-0.02,52.7,13.0,0.0,,,,,output/tables/psd/figure13_psd_stats_mass_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",5.00-10.00,5.0,10.0,7.5,11.9,5.8,0.13,88.6,13.3,0.0,,,,0.4728842080344364,output/tables/psd/figure13_psd_stats_mass_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",10.00-20.00,10.0,20.0,15.0,13.0,10.8,-0.03,468.3,17.9,0.0,,,,2.402054434144047,output/tables/psd/figure13_psd_stats_mass_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",20.00-35.00,20.0,35.0,27.5,12.5,8.9,-0.05,460.8,52.2,-0.0,,,,-0.0266359563528764,output/tables/psd/figure13_psd_stats_mass_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",0.00-5.00,0.0,5.0,2.5,12.2,5.3,0.09,53.5,13.3,0.0,,,,,output/tables/psd/figure13_psd_stats_mass_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",5.00-10.00,5.0,10.0,7.5,12.0,5.4,0.03,363.4,46.8,0.0,,,,1.7438567926294872,output/tables/psd/figure13_psd_stats_mass_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",10.00-20.00,10.0,20.0,15.0,12.6,8.9,-0.04,469.3,23.2,0.0,,,,0.3689520407941473,output/tables/psd/figure13_psd_stats_mass_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",20.00-35.00,20.0,35.0,27.5,11.6,6.9,-0.01,466.6,35.0,-0.0,,,,-0.0095190932115478,output/tables/psd/figure13_psd_stats_mass_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass,mass,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",0.00-5.00,0.0,5.0,2.5,12.2,5.3,-0.02,52.7,13.0,0.0,,,,,output/tables/psd/figure13_psd_stats_mass_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
mass,mass,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",5.00-10.00,5.0,10.0,7.5,11.9,5.8,0.13,88.6,13.3,0.0,,,,0.4728842080344364,output/tables/psd/figure13_psd_stats_mass_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
