quantity,count,mean,std,min,median,max
n_growth_windows,3.0,3.0,0.0,3.0,3.0,3.0
spectral_z_ridge_m_median,3.0,813.3002319335938,0.0,813.3002319335938,813.3002319335938,813.3002319335938
spectral_z_ridge_m_mean,3.0,813.3002319335938,0.0,813.3002319335938,813.3002319335938,813.3002319335938
spectral_z_ridge_m_max,3.0,813.3002319335938,0.0,813.3002319335938,813.3002319335938,813.3002319335938
spectral_z_ridge_m_min,3.0,813.3002319335938,0.0,813.3002319335938,813.3002319335938,813.3002319335938
spectral_z_ridge_m_std,3.0,0.0,0.0,0.0,0.0,0.0
spectral_z_ridge_m_trend_per_min,3.0,2.9045630977098015e-12,0.0,2.9045630977098015e-12,2.9045630977098015e-12,2.9045630977098015e-12
spectral_z_ridge_m_q25,3.0,813.3002319335938,0.0,813.3002319335938,813.3002319335938,813.3002319335938
spectral_z_ridge_m_q75,3.0,813.3002319335938,0.0,813.3002319335938,813.3002319335938,813.3002319335938
spectral_z_offset_m_median,3.0,0.0,0.0,0.0,0.0,0.0
spectral_z_offset_m_mean,3.0,0.0,0.0,0.0,0.0,0.0
spectral_z_offset_m_max,3.0,0.0,0.0,0.0,0.0,0.0
spectral_z_offset_m_min,3.0,0.0,0.0,0.0,0.0,0.0
spectral_z_offset_m_std,3.0,0.0,0.0,0.0,0.0,0.0
spectral_z_offset_m_trend_per_min,3.0,0.0,0.0,0.0,0.0,0.0
spectral_z_offset_m_q25,3.0,0.0,0.0,0.0,0.0,0.0
spectral_z_offset_m_q75,3.0,0.0,0.0,0.0,0.0,0.0
spectral_D_liq_um_median,3.0,3.7805325574727195,0.45170614655178215,3.402047635335107,3.6589691054405615,4.28058093164249
spectral_D_liq_um_mean,3.0,3.7804825278559533,0.45145816193873256,3.4021846404980276,3.659015143412107,4.280247799657725
spectral_D_liq_um_max,3.0,3.781237374425863,0.4519100939175679,3.402876326847805,3.659202665230851,4.281633131198933
spectral_D_liq_um_min,3.0,3.7796776516692776,0.45075861905053427,3.401629959311171,3.6588736595649096,4.278529336131752
spectral_D_liq_um_std,3.0,0.0006483336567113863,0.0005862851639988985,0.0001382046867835516,0.0005179677081915295,0.0012888285751590778
spectral_D_liq_um_trend_per_min,3.0,-0.02029437618908412,0.0916533035079806,-0.12400093525255405,0.013282135320451869,0.04983567136484983
spectral_D_liq_um_q25,3.0,3.7801051045709984,0.4512323267880555,3.4018387973231388,3.6589213825027356,4.27955513388712
spectral_D_liq_um_q75,3.0,3.780884965949291,0.45180808220500124,3.402461981091456,3.6590858853357062,4.281107031420712
spectral_D_ice_um_median,3.0,112.15839663461851,8.113660784824512,102.9452228218933,115.29204004118736,118.2379270407749
spectral_D_ice_um_mean,3.0,112.14776726117078,8.116131350234744,102.93157895767807,115.28345081794497,118.22827200788932
spectral_D_ice_um_max,3.0,112.19040343422785,8.106092213320212,102.98651370939312,115.31754613341724,118.26715045987318
spectral_D_ice_um_min,3.0,112.09450171466597,8.128643962007697,102.86300034174778,115.2407662792303,118.17973852301984
spectral_D_ice_um_std,3.0,0.03986665455213148,0.010176322302501331,0.03192822752333384,0.03633296410634747,0.051338772026713136
spectral_D_ice_um_trend_per_min,3.0,-3.835729698858099,0.9791048524093098,-4.939508149089407,-3.495739415729389,-3.0719415317555017
spectral_D_ice_um_q25,3.0,112.12644917464225,8.121151767245024,102.90411158182053,115.26640316020882,118.20883278189737
spectral_D_ice_um_q75,3.0,112.17440003442319,8.109876332345547,102.96586826564321,115.3047930873023,118.25253875032405
spectral_dD_liq_dt_um_s_median,3.0,-0.0003488123538596332,0.001536359980252929,-0.0020855406835469997,0.0002061303366579,0.0008329732853102
spectral_dD_liq_dt_um_s_mean,3.0,-0.0003488123538596332,0.001536359980252929,-0.0020855406835469997,0.0002061303366579,0.0008329732853102
spectral_dD_liq_dt_um_s_max,3.0,-0.00033665376144289996,0.0015293765916376905,-0.0020666822542092,0.0002213689220075,0.000835352047873
spectral_dD_liq_dt_um_s_min,3.0,-0.0003609709462763666,0.0015433603720581427,-0.0021043991128848,0.0001908917513083,0.0008305945227474
spectral_dD_liq_dt_um_s_std,3.0,1.2158592416733324e-05,8.66080952357463e-06,2.3787625627999976e-06,1.52385853496e-05,1.8858429337799973e-05
spectral_dD_liq_dt_um_s_trend_per_min,3.0,0.001268730084983997,0.0013633715893665993,-0.000285451507535979,0.0018286302419520026,0.0022630115205359677
spectral_dD_liq_dt_um_s_q25,3.0,-0.000354891650068,0.0015398580652370897,-0.0020949698982159,0.0001985110439831,0.0008317839040288
spectral_dD_liq_dt_um_s_q75,3.0,-0.00034273305765126664,0.0015328661460090535,-0.0020761114688781,0.0002137496293327,0.0008341626665916
spectral_dD_ice_dt_um_s_median,3.0,-0.06397121376642954,0.016411333126890765,-0.0824534554088546,-0.05835458089595425,-0.0511056049944798
spectral_dD_ice_dt_um_s_mean,3.0,-0.06397121376642954,0.016411333126890765,-0.0824534554088546,-0.05835458089595425,-0.0511056049944798
spectral_dD_ice_dt_um_s_max,3.0,-0.0638665479577743,0.01639148342041628,-0.0823251358181567,-0.0582623235954934,-0.0510121844596728
spectral_dD_ice_dt_um_s_min,3.0,-0.0640758795750848,0.016431184412891466,-0.0825817749995525,-0.0584468381964151,-0.0511990255292868
spectral_dD_ice_dt_um_s_std,3.0,0.00010466580865524956,2.0493031308886373e-05,9.225730046084901e-05,9.342053480699761e-05,0.00012831959069790205
spectral_dD_ice_dt_um_s_trend_per_min,3.0,0.005086254254069367,0.014278271369811107,-0.01121046417683998,0.011070876055300168,0.015398350883747913
