cs_run,flare_exp_id,flare_expname,ref_exp_id,ref_expname,pair_method,pair_status
cs-eriswil__20260120_204218,0,20260120204219,1,20260120204430,single_reference,MATCHED
cs-eriswil__20260120_204218,2,20260120204641,1,20260120204430,same_shape,MATCHED
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,MATCHED
cs-eriswil__20260121_131528,2,20260121131632,0,20260121131528,single_reference,MATCHED
cs-eriswil__20260127_211338,1,20260127211431,0,20260127211338,same_shape,MATCHED
cs-eriswil__20260127_211338,3,20260127211551,2,20260127211516,same_shape,MATCHED
cs-eriswil__20260210_113944,0,20260210113944,3,20260210114519,same_shape,MATCHED
cs-eriswil__20260210_113944,2,20260210114328,1,20260210114136,same_shape,MATCHED
cs-eriswil__20260211_194236,0,20260211194236,,,none,UNMATCHED
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,MATCHED
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,MATCHED
cs-eriswil__20260304_110254,1,20260304110638,2,20260304110829,single_reference,MATCHED
cs-eriswil__20260304_110254,3,20260304111020,2,20260304110829,same_shape,MATCHED
cs-eriswil__20260304_110254,4,20260304111212,2,20260304110829,same_shape,MATCHED
cs-eriswil__20260313_111441,1,20260313111445,0,20260313111441,same_shape,MATCHED
cs-eriswil__20260313_111441,3,20260313111448,2,20260313111446,same_shape,MATCHED
cs-eriswil__20260313_140150,1,20260313140154,0,20260313140150,same_shape,MATCHED
cs-eriswil__20260314_103039,1,20260314103041,0,20260314103040,same_shape,MATCHED
cs-eriswil__20260314_103039,3,20260314103045,2,20260314103044,same_shape,MATCHED
