cs_run,exp_id,expname,ref_exp_id,ref_expname,pair_method,station_idx,window_start,window_end,rate_n_f__aggregation_ice,rate_n_f__contact_freezing_ice,rate_n_f__deposition_ice,rate_n_f__immersion_freezing_ice,rate_n_f__melting_ice,rate_n_f__riming_ice,rate_n_w__breakup_liq,rate_n_w__condensation_liq,rate_n_w__drop_collision_liq,rate_n_w__drop_ins_collision_liq,rate_n_w__homogeneous_freezing_liq,rate_n_w__melting_liq,rate_n_w__riming_liq,rate_n_f__aggregation_ice__diff,rate_n_f__contact_freezing_ice__diff,rate_n_f__deposition_ice__diff,rate_n_f__immersion_freezing_ice__diff,rate_n_f__melting_ice__diff,rate_n_f__riming_ice__diff,rate_n_w__breakup_liq__diff,rate_n_w__condensation_liq__diff,rate_n_w__drop_collision_liq__diff,rate_n_w__drop_ins_collision_liq__diff,rate_n_w__homogeneous_freezing_liq__diff,rate_n_w__melting_liq__diff,rate_n_w__riming_liq__diff,rate_n_f__dominant_process,rate_n_f__dominant_fraction,rate_n_f__runner_up_process,rate_n_f__runner_up_fraction,rate_n_f__dominance_margin,rate_n_w__dominant_process,rate_n_w__dominant_fraction,rate_n_w__runner_up_process,rate_n_w__runner_up_fraction,rate_n_w__dominance_margin
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,0.0,0.0,0.0,0.999850040753742,0.0,0.000149959246258,0.0,0.9996227556089572,0.0,0.0,0.0,0.0,0.0003772443910429,0.0,0.0,-0.0001027696116614,0.0028318319700701,0.0,4.247230789139231e-07,0.0,33480.31043596636,-0.419117227455331,0.0,0.0,0.0,12.635025814964903,Immersion Freezing (ice),0.999850040753742,Riming (ice),0.000149959246258,0.9997000815074839,Condensation (liq),0.9996227556089572,Riming (liq),0.0003772443910429,0.9992455112179143
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,0.0,0.0,0.8897176209439567,0.0,0.0,0.1102823790560433,0.0,0.9998514268295636,0.0,0.0,0.0,0.0,0.0001485731704363,0.0,0.0,0.0005031979415551,0.0,0.0,6.23724480941849e-05,0.0,47332.594749044685,-1.9838574163932208,0.0,0.0,0.0,7.033398641181654,Deposition (ice),0.8897176209439567,Riming (ice),0.1102823790560433,0.7794352418879134,Condensation (liq),0.9998514268295636,Riming (liq),0.0001485731704363,0.9997028536591274
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3257.546344484872,-1.8127290626088095,0.0,0.0,0.0,0.0,Aggregation (ice),0.0,Contact Freezing (ice),0.0,0.0,Breakup (liq),0.0,Condensation (liq),0.0,0.0
cs-eriswil__20260304_110254,1,20260304110638,2,20260304110829,single_reference,0,2023-01-25T12:30:00,2023-01-25T12:32:30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0009293881569763,-5970.624842715796,0.0,-1.0154040044289612e-05,0.0,-34407.0062706209,-17.023534852899843,0.0,0.0,0.0,209.808206137834,Deposition (ice),1.0,Aggregation (ice),0.0,1.0,Riming (liq),1.0,Condensation (liq),0.0,1.0
cs-eriswil__20260304_110254,1,20260304110638,2,20260304110829,single_reference,1,2023-01-25T12:30:00,2023-01-25T12:32:30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999825769718012,1.7423028198952436e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0039383115224235,0.0022111215105328,0.0,-0.0005315306441088,0.0,49651.976699689054,0.8651028628839867,0.0,0.0,0.0,-57.17129091639632,Immersion Freezing (ice),1.0,Aggregation (ice),0.0,1.0,Condensation (liq),0.9999825769718012,Drop Collision (liq),1.7423028198952436e-05,0.9999651539436022
cs-eriswil__20260304_110254,1,20260304110638,2,20260304110829,single_reference,2,2023-01-25T12:30:00,2023-01-25T12:32:30,0.0,0.0,0.9698227650218592,0.0301772349781409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000303070125629,9.430401848481582e-06,0.0,-3.5702384650234584e-06,0.0,-48072.149264446736,-0.3509605607628145,0.0,0.0,0.0,-4.364157760103472,Deposition (ice),0.9698227650218592,Immersion Freezing (ice),0.0301772349781409,0.9396455300437183,Breakup (liq),0.0,Condensation (liq),0.0,0.0
cs-eriswil__20260304_110254,3,20260304111020,2,20260304110829,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7832635543310853,0.0,0.0,0.0,0.0,0.2167364456689146,0.0,0.0,-0.0001005886117241,-5373.55094530592,0.0,3.079327778605806e-09,0.0,679.4213044726348,-15.027372100601042,0.0,0.0,0.0,188.0023113917177,Riming (ice),1.0,Aggregation (ice),0.0,1.0,Condensation (liq),0.7832635543310853,Riming (liq),0.2167364456689146,0.5665271086621707
cs-eriswil__20260304_110254,3,20260304111020,2,20260304110829,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.999997494548383,0.0,0.0,0.0,0.0,2.505451617036118e-06,0.0,0.0,2.1336542544161344e-06,0.0,0.0,-7.673775450268728e-07,0.0,16612.980686362775,-2.99471638502132,0.0,0.0,0.0,0.0416231236091597,Deposition (ice),1.0,Aggregation (ice),0.0,1.0,Condensation (liq),0.999997494548383,Riming (liq),2.505451617036118e-06,0.999994989096766
cs-eriswil__20260304_110254,3,20260304111020,2,20260304110829,same_shape,2,2023-01-25T12:30:00,2023-01-25T12:32:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41680.144559224456,-1.7365005041539234,0.0,0.0,0.0,0.0,Aggregation (ice),0.0,Contact Freezing (ice),0.0,0.0,Condensation (liq),1.0,Breakup (liq),0.0,1.0
cs-eriswil__20260304_110254,4,20260304111212,2,20260304110829,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9773013504930456,0.0,0.0,0.0,0.0,0.0226986495069545,0.0,0.0,-9.372250794630986e-05,-5373.550973367697,0.0,-4.9429077352262395e-09,0.0,8094.614816920046,-17.017884489504013,0.0,0.0,0.0,188.00426759911304,Aggregation (ice),0.0,Contact Freezing (ice),0.0,0.0,Condensation (liq),0.9773013504930456,Riming (liq),0.0226986495069545,0.954602700986091
