cs_run,stage,status,linked_items,kept_items,source_root,source_dir,target_dir,raw_json_count,raw_m_count,raw_3d_count,raw_y_count,note
cs-eriswil__20250704_104930,lv2_meteogram,already_present,0,2,/scratch/b/b382237/schimmel/cosmo-specs-runs/ensemble_output,/scratch/b/b382237/schimmel/cosmo-specs-runs/ensemble_output/cs-eriswil__20250704_104930,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20250704_104930/lv2_meteogram,0,0,0,0,
cs-eriswil__20250707_142728,lv2_meteogram,already_present,0,2,/scratch/b/b382237/schimmel/cosmo-specs-runs/ensemble_output,/scratch/b/b382237/schimmel/cosmo-specs-runs/ensemble_output/cs-eriswil__20250707_142728,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20250707_142728/lv2_meteogram,0,0,0,0,
cs-eriswil__20250710_105311,lv2_meteogram,already_present,0,3,/scratch/b/b382237/schimmel/cosmo-specs-runs/ensemble_output,/scratch/b/b382237/schimmel/cosmo-specs-runs/ensemble_output/cs-eriswil__20250710_105311,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20250710_105311/lv2_meteogram,0,0,0,0,
cs-eriswil__20250710_230025,lv2_meteogram,already_present,0,2,/scratch/b/b382237/schimmel/cosmo-specs-runs/ensemble_output,/scratch/b/b382237/schimmel/cosmo-specs-runs/ensemble_output/cs-eriswil__20250710_230025,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20250710_230025/lv2_meteogram,0,0,0,0,
cs-eriswil__20250730_102421,lv2_meteogram,already_present,0,1,/scratch/b/b382237/schimmel/cosmo-specs-runs/ensemble_output,/scratch/b/b382237/schimmel/cosmo-specs-runs/ensemble_output/cs-eriswil__20250730_102421,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20250730_102421/lv2_meteogram,0,0,0,0,
cs-eriswil__20251125_114053,lv1_paths,already_present,0,24,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20251125_114053/lv1_paths,1,6,3,5,local_only
cs-eriswil__20251129_230943,lv1_paths,already_present,0,33,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20251129_230943/lv1_paths,1,6,3,5,local_only
cs-eriswil__20260120_204218,lv1_tracking,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260120_204218/lv1_tracking,1,0,3,5,missing_processed_but_raw_3d_present
cs-eriswil__20260120_204218,lv1_paths,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260120_204218/lv1_paths,1,0,3,5,missing_processed_but_raw_3d_present
cs-eriswil__20260120_204218,lv2_meteogram,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260120_204218/lv2_meteogram,1,0,3,5,no_source_found
cs-eriswil__20260120_204218,lv2_3d,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260120_204218/lv2_3d,1,0,3,5,no_source_found
cs-eriswil__20260120_204218,lv3_rates,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260120_204218/lv3_rates,1,0,3,5,missing_processed_but_lv2_inputs_may_exist
cs-eriswil__20260120_204218,manifests,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260120_204218/manifests,1,0,3,5,no_source_found
cs-eriswil__20260121_131528,lv1_tracking,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260121_131528/lv1_tracking,1,0,3,5,missing_processed_but_raw_3d_present
cs-eriswil__20260121_131528,lv1_paths,already_present,0,24,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260121_131528/lv1_paths,1,0,3,5,local_only
cs-eriswil__20260121_131528,lv2_meteogram,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260121_131528/lv2_meteogram,1,0,3,5,no_source_found
cs-eriswil__20260121_131528,lv2_3d,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260121_131528/lv2_3d,1,0,3,5,no_source_found
cs-eriswil__20260121_131528,lv3_rates,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260121_131528/lv3_rates,1,0,3,5,missing_processed_but_lv2_inputs_may_exist
cs-eriswil__20260121_131528,manifests,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260121_131528/manifests,1,0,3,5,no_source_found
cs-eriswil__20260123_180947,lv1_paths,already_present,0,9,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260123_180947/lv1_paths,0,0,0,0,local_only
cs-eriswil__20260123_180947,manifests,already_present,0,1,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260123_180947/manifests,0,0,0,0,local_only
cs-eriswil__20260127_211338,lv1_tracking,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260127_211338/lv1_tracking,1,0,4,5,missing_processed_but_raw_3d_present
cs-eriswil__20260127_211338,lv1_paths,already_present,0,21,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260127_211338/lv1_paths,1,0,4,5,local_only
cs-eriswil__20260127_211338,lv2_meteogram,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260127_211338/lv2_meteogram,1,0,4,5,no_source_found
cs-eriswil__20260127_211338,lv2_3d,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260127_211338/lv2_3d,1,0,4,5,no_source_found
cs-eriswil__20260127_211338,lv3_rates,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260127_211338/lv3_rates,1,0,4,5,missing_processed_but_lv2_inputs_may_exist
cs-eriswil__20260127_211338,manifests,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260127_211338/manifests,1,0,4,5,no_source_found
cs-eriswil__20260210_113944,lv1_tracking,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260210_113944/lv1_tracking,1,12,0,5,no_source_found
cs-eriswil__20260210_113944,lv1_paths,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260210_113944/lv1_paths,1,12,0,5,no_source_found
cs-eriswil__20260210_113944,lv2_meteogram,already_present,0,1,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output/cs-eriswil__20260210_113944/lv2_meteogram,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260210_113944/lv2_meteogram,1,12,0,5,
cs-eriswil__20260210_113944,lv2_3d,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260210_113944/lv2_3d,1,12,0,5,no_source_found
cs-eriswil__20260210_113944,lv3_rates,already_present,0,4,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output/cs-eriswil__20260210_113944/lv3_rates,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260210_113944/lv3_rates,1,12,0,5,
cs-eriswil__20260210_113944,manifests,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260210_113944/manifests,1,12,0,5,no_source_found
cs-eriswil__20260211_194236,lv1_tracking,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260211_194236/lv1_tracking,1,12,4,5,missing_processed_but_raw_3d_present
cs-eriswil__20260211_194236,lv1_paths,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260211_194236/lv1_paths,1,12,4,5,missing_processed_but_raw_3d_present
cs-eriswil__20260211_194236,lv2_meteogram,already_present,0,1,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output/cs-eriswil__20260211_194236/lv2_meteogram,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260211_194236/lv2_meteogram,1,12,4,5,
cs-eriswil__20260211_194236,lv2_3d,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260211_194236/lv2_3d,1,12,4,5,no_source_found
cs-eriswil__20260211_194236,lv3_rates,already_present,0,4,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output/cs-eriswil__20260211_194236/lv3_rates,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260211_194236/lv3_rates,1,12,4,5,
cs-eriswil__20260211_194236,manifests,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260211_194236/manifests,1,12,4,5,no_source_found
cs-eriswil__20260304_110254,lv1_tracking,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260304_110254/lv1_tracking,1,15,0,0,no_source_found
cs-eriswil__20260304_110254,lv1_paths,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260304_110254/lv1_paths,1,15,0,0,no_source_found
cs-eriswil__20260304_110254,lv2_meteogram,already_present,0,1,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output/cs-eriswil__20260304_110254,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260304_110254/lv2_meteogram,1,15,0,0,
cs-eriswil__20260304_110254,lv2_3d,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260304_110254/lv2_3d,1,15,0,0,no_source_found
cs-eriswil__20260304_110254,lv3_rates,already_present,0,5,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260304_110254/lv3_rates,1,15,0,0,local_only
cs-eriswil__20260304_110254,manifests,already_present,0,1,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output/cs-eriswil__20260304_110254/manifests,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260304_110254/manifests,1,15,0,0,
cs-eriswil__20260313_111441,lv1_tracking,already_present,0,12,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output/cs-eriswil__20260313_111441/lv1_tracking,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260313_111441/lv1_tracking,1,0,4,5,
cs-eriswil__20260313_111441,lv1_paths,already_present,0,9,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output/cs-eriswil__20260313_111441/lv1_paths,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260313_111441/lv1_paths,1,0,4,5,
cs-eriswil__20260313_111441,lv2_meteogram,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260313_111441/lv2_meteogram,1,0,4,5,no_source_found
cs-eriswil__20260313_111441,lv2_3d,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260313_111441/lv2_3d,1,0,4,5,no_source_found
cs-eriswil__20260313_111441,lv3_rates,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260313_111441/lv3_rates,1,0,4,5,missing_processed_but_lv2_inputs_may_exist
cs-eriswil__20260313_111441,manifests,already_present,0,1,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260313_111441/manifests,1,0,4,5,local_only
cs-eriswil__20260313_140150,lv1_tracking,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260313_140150/lv1_tracking,0,0,0,0,no_source_found
cs-eriswil__20260313_140150,lv1_paths,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260313_140150/lv1_paths,0,0,0,0,no_source_found
cs-eriswil__20260313_140150,lv2_meteogram,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260313_140150/lv2_meteogram,0,0,0,0,no_source_found
cs-eriswil__20260313_140150,lv2_3d,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260313_140150/lv2_3d,0,0,0,0,no_source_found
cs-eriswil__20260313_140150,lv3_rates,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260313_140150/lv3_rates,0,0,0,0,no_source_found
cs-eriswil__20260313_140150,manifests,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260313_140150/manifests,0,0,0,0,no_source_found
cs-eriswil__20260314_103039,lv1_tracking,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260314_103039/lv1_tracking,1,12,0,5,no_source_found
cs-eriswil__20260314_103039,lv1_paths,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260314_103039/lv1_paths,1,12,0,5,no_source_found
cs-eriswil__20260314_103039,lv2_meteogram,already_present,0,1,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output/cs-eriswil__20260314_103039/lv2_meteogram,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260314_103039/lv2_meteogram,1,12,0,5,
cs-eriswil__20260314_103039,lv2_3d,missing,0,0,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260314_103039/lv2_3d,1,12,0,5,no_source_found
cs-eriswil__20260314_103039,lv3_rates,already_present,0,2,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output/cs-eriswil__20260314_103039/lv3_rates,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260314_103039/lv3_rates,1,12,0,5,
cs-eriswil__20260314_103039,manifests,already_present,0,1,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_50x42x100/ensemble_output/cs-eriswil__20260314_103039/manifests,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260314_103039/manifests,1,12,0,5,
cs-eriswil__20260318_153631,lv1_tracking,already_present,0,4,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_200x160x100/ensemble_output,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_200x160x100/ensemble_output/cs-eriswil__20260318_153631/lv1_tracking,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260318_153631/lv1_tracking,1,20,6,5,
cs-eriswil__20260318_153631,lv1_paths,already_present,0,1,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_200x160x100/ensemble_output,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_200x160x100/ensemble_output/cs-eriswil__20260318_153631/lv1_paths,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260318_153631/lv1_paths,1,20,6,5,
cs-eriswil__20260318_153631,lv2_meteogram,already_present,0,1,,,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260318_153631/lv2_meteogram,1,20,6,5,local_only
cs-eriswil__20260318_153631,manifests,already_present,0,1,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_200x160x100/ensemble_output,/work/bb1262/user/schimmel/cosmo-specs-torch/cosmo-specs-runs/RUN_ERISWILL_200x160x100/ensemble_output/cs-eriswil__20260318_153631/manifests,/home/b/b382237/code/polarcap/python/polarcap_analysis/data/processed/cs-eriswil__20260318_153631/manifests,1,20,6,5,
