variant,basis,run_id,run_label,time_frame_min,t_lo_min,t_hi_min,t_mid_min,liq_mean_diam_um,liq_std_diam_um,liq_net_tendency_per_min,ice_mean_diam_um,ice_std_diam_um,ice_net_tendency_per_min,obs_match_ids,obs_ice_mean_diam_um,obs_ice_std_diam_um,alpha_ice_mean_diam,source_stats_csv,cs_run,exp_id,expname
mass,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",0.00-0.02,0.0,0.0166666666666666,0.0083333333333333,12.7,5.4,0.0,91.2,30.2,0.0,,,,,output/gfx/csv/04/figure13_psd_stats_mass_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",0.02-2.00,0.0166666666666666,2.0,1.0083333333333333,12.4,5.4,-0.01,33.7,9.6,0.0,,,,-0.2075897707075721,output/gfx/csv/04/figure13_psd_stats_mass_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",2.00-5.00,2.0,5.0,3.5,12.1,5.2,-0.02,54.3,11.9,0.0,,,,0.383318702729105,output/gfx/csv/04/figure13_psd_stats_mass_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",5.00-10.00,5.0,10.0,7.5,11.9,5.8,0.13,88.6,13.3,0.0,,,,0.6424116267819743,output/gfx/csv/04/figure13_psd_stats_mass_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass,mass,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",10.00-35.00,10.0,35.0,22.5,12.8,10.2,-0.05,468.4,18.8,-0.0,,,,1.5157219624143314,output/gfx/csv/04/figure13_psd_stats_mass_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
mass,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",0.00-0.02,0.0,0.0166666666666666,0.0083333333333333,12.7,5.4,0.0,165.1,57.2,0.0,,,,,output/gfx/csv/04/figure13_psd_stats_mass_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",0.02-2.00,0.0166666666666666,2.0,1.0083333333333333,12.4,5.4,-0.01,34.5,12.8,0.0,,,,-0.326451293484078,output/gfx/csv/04/figure13_psd_stats_mass_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",2.00-5.00,2.0,5.0,3.5,12.1,5.2,0.15,55.1,12.0,0.0,,,,0.3762184601478444,output/gfx/csv/04/figure13_psd_stats_mass_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",5.00-10.00,5.0,10.0,7.5,12.0,5.4,0.03,363.4,46.8,0.0,,,,2.475075853495663,output/gfx/csv/04/figure13_psd_stats_mass_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",10.00-35.00,10.0,35.0,22.5,12.0,7.9,-0.02,467.9,27.1,-0.0,,,,0.2300633667738411,output/gfx/csv/04/figure13_psd_stats_mass_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
mass,mass,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",0.00-0.02,0.0,0.0166666666666666,0.0083333333333333,12.7,5.4,0.0,91.2,30.2,0.0,,,,,output/gfx/csv/04/figure13_psd_stats_mass_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
mass,mass,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",0.02-2.00,0.0166666666666666,2.0,1.0083333333333333,12.4,5.4,-0.01,33.7,9.6,0.0,,,,-0.2075897707075721,output/gfx/csv/04/figure13_psd_stats_mass_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
mass,mass,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",2.00-5.00,2.0,5.0,3.5,12.1,5.2,-0.02,54.3,11.9,0.0,,,,0.383318702729105,output/gfx/csv/04/figure13_psd_stats_mass_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
mass,mass,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",5.00-10.00,5.0,10.0,7.5,11.9,5.8,0.13,88.6,13.3,0.0,,,,0.6424116267819743,output/gfx/csv/04/figure13_psd_stats_mass_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
mass,mass,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",10.00-35.00,10.0,35.0,22.5,12.6,9.7,-0.05,468.3,19.1,-0.0,,,,1.5155276121997303,output/gfx/csv/04/figure13_psd_stats_mass_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
mass,mass,20260127211551,"400m, inp 1e6, ccn 400 (planar)",0.00-0.02,0.0,0.0166666666666666,0.0083333333333333,12.7,5.4,0.0,197.0,60.2,0.0,,,,,output/gfx/csv/04/figure13_psd_stats_mass_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
